Account,date,net_pnl,gross_pnl,fees,volume_usd,n_fills,n_realized,n_liq,buy_frac,classification,value,class5,sentiment,won_day
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,-167.796055,0.0,167.796055,900880.13,177,0,0,0.0,Extreme Greed,76,Extreme Greed,Greed,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,-67.883615,0.0,67.883615,542413.1799999999,68,0,0,0.0,Extreme Greed,90,Extreme Greed,Greed,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,-94.93798300000002,0.0,94.93798300000002,949380.0,40,0,0,0.0,Extreme Greed,83,Extreme Greed,Greed,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21260.823995,-21227.0,33.823995,338240.0,12,12,0,1.0,Extreme Greed,94,Extreme Greed,Greed,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1498.4775100000002,1603.1,104.62249,465700.0,27,12,0,0.4444444444444444,Extreme Greed,79,Extreme Greed,Greed,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-27,-132402.679967,-132271.0,131.679967,1316799.98,82,82,0,1.0,Extreme Greed,75,Extreme Greed,Greed,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,-390.921553,0.0,390.921553,1116918.77,23,0,0,0.0,Extreme Greed,84,Extreme Greed,Greed,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175732.230048,-175611.00005600002,121.229992,1212299.96,33,33,0,1.0,Greed,72,Greed,Greed,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,70613.627658,71393.964098,780.33644,5306093.62,465,112,0,0.24086021505376345,Extreme Greed,77,Extreme Greed,Greed,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40194.628505,40218.599998,23.971493,479429.99,51,28,0,0.5490196078431373,Extreme Greed,76,Extreme Greed,Greed,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,175404.322123,176668.65146,1264.3293370000001,11231525.35,402,218,0,0.6417910447761194,Greed,60,Greed,Greed,True
